"include","gs_name","gs_cat","gs_subcat","n_genes","matched_whitelist_pattern","gs_description","notes"
TRUE,"KEGG_APOPTOSIS","C2","CP:KEGG_LEGACY",87,"APOPTOS","Apoptosis",""
TRUE,"KEGG_BASE_EXCISION_REPAIR","C2","CP:KEGG_LEGACY",35,"REPAIR","Base excision repair",""
TRUE,"KEGG_CELL_CYCLE","C2","CP:KEGG_LEGACY",125,"CELL_CYCLE","Cell cycle",""
TRUE,"KEGG_ERBB_SIGNALING_PATHWAY","C2","CP:KEGG_LEGACY",87,"ERBB; RB","ErbB signaling pathway",""
TRUE,"KEGG_GLYCOLYSIS_GLUCONEOGENESIS","C2","CP:KEGG_LEGACY",62,"GLYCOLYSIS","Glycolysis / Gluconeogenesis",""
TRUE,"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM","C2","CP:KEGG_LEGACY",16,"RB","Glyoxylate and dicarboxylate metabolism",""
TRUE,"KEGG_HEDGEHOG_SIGNALING_PATHWAY","C2","CP:KEGG_LEGACY",56,"HEDGEHOG","Hedgehog signaling pathway",""
TRUE,"KEGG_MISMATCH_REPAIR","C2","CP:KEGG_LEGACY",23,"REPAIR","Mismatch repair",""
TRUE,"KEGG_MTOR_SIGNALING_PATHWAY","C2","CP:KEGG_LEGACY",52,"MTOR","mTOR signaling pathway",""
TRUE,"KEGG_NUCLEOTIDE_EXCISION_REPAIR","C2","CP:KEGG_LEGACY",44,"REPAIR","Nucleotide excision repair",""
TRUE,"KEGG_REGULATION_OF_AUTOPHAGY","C2","CP:KEGG_LEGACY",35,"AUTOPHAG","Regulation of autophagy",""
TRUE,"KEGG_WNT_SIGNALING_PATHWAY","C2","CP:KEGG_LEGACY",151,"WNT","Wnt signaling pathway",""
TRUE,"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",16,"ERK; RAS","Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",""
TRUE,"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",12,"ERK; RAS","Pathway Definition from KEGG: Metals -> ROS -> RAS -> RAF -> MEK -> ERK -> AP1",""
TRUE,"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",21,"ERK; RAS","Pathway Definition from KEGG: ACh -> CHRNA7 -> Ca2+ -> RAS -> RAF -> MEK -> ERK -> CREB",""
TRUE,"KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",35,"RB","Pathway Definition from KEGG: ADRB3 -> GNAS -> ADCY -> cAMP -> PKA -> JMD1A+SWI/SNF+PPARG => UCP1",""
TRUE,"KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",11,"EGFR; PI3K","Pathway Definition from KEGG: AREG -> EGFR -> PI3K -> PIP3 -> AKT -> MTOR -> S6K",""
TRUE,"KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"EGFR; ERK; RAS","Pathway Definition from KEGG: AREG -> EGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK",""
TRUE,"KEGG_MEDICUS_REFERENCE_ATR_SIGNALING","C2","CP:KEGG_MEDICUS",12,"ATR","Pathway Definition from KEGG: RPA == RAD17+9-1-1 == TOPBP1 == ATR+ATRIP -> CHEK1",""
TRUE,"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_LC3_II_FORMATION","C2","CP:KEGG_MEDICUS",13,"AUTOPHAG","Pathway Definition from KEGG: LC3 -- ATG4 >> ATG7 >> ATG3 >> (ATG12+ATG5+ATG16L1) -> LC3-II",""
TRUE,"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1","C2","CP:KEGG_MEDICUS",16,"AUTOPHAG; PI3K; MTOR","Pathway Definition from KEGG: mTORC1 -> ULK1_complex -> PI3KC3-C1",""
TRUE,"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PI3P_SYNTHESIS_BY_PI3KC3_C1","C2","CP:KEGG_MEDICUS",10,"AUTOPHAG; PI3K","Pathway Definition from KEGG: PI -- PI3KC3-C1 -> PI3P -> (WIPI,ZFYVE1)",""
TRUE,"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR","C2","CP:KEGG_MEDICUS",14,"AUTOPHAG","Pathway Definition from KEGG: Ubiquitinated_protein == (SQSTM1,NBR1,OPTN,CALCOCO2,TAX1BP1,WDFY3) == LC3-II",""
TRUE,"KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"PI3K","Pathway Definition from KEGG: IGH -> (LYN,SYK) -> (PIK3AP1,(CD19+CD21+CD81+IFITM1)) -> PI3Kdelta -> PIP3 -> AKT",""
TRUE,"KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"ERK; RAS","Pathway Definition from KEGG: Ca2+ -> PTK2B -> SRC -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK",""
TRUE,"KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",31,"PI3K","Pathway Definition from KEGG: CCL2 -> CCR2 -> GNB/G -> PI3K -> PIP3 -> AKT -> IKK -> NFKBIA -> NFKB",""
TRUE,"KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",31,"PI3K","Pathway Definition from KEGG: (CC,CXC) -> (CCR,CXCR) -> GNB/G -> PI3Kgamma -> PREX1 -> RAC1",""
TRUE,"KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",10,"PI3K","Pathway Definition from KEGG: (CD80,CD86) -> CD28 -> PI3K -> PIP3 -> AKT -| GSK3B",""
TRUE,"KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M","C2","CP:KEGG_MEDICUS",10,"CELL_CYCLE","Pathway Definition from KEGG: (ATM,ATR) -> CHEK1/2 -| CDC25B/C -> (CCNB+CDK1)",""
TRUE,"KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2","C2","CP:KEGG_MEDICUS",10,"RB","Pathway Definition from KEGG: SucCoA -- SUCL >> SDH >> FH >> MDH1/2 -> OA",""
TRUE,"KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY","C2","CP:KEGG_MEDICUS",19,"ERK","Pathway Definition from KEGG: CXCL12 -> CXCR4 -> GNAQ -> (PLCB,PLCG) -> IP3 -> Ca2+ -> PKC -> RAF -> MEK -> ERK",""
TRUE,"KEGG_MEDICUS_REFERENCE_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",12,"PI3K","Pathway Definition from KEGG: CXCL12 -> CXCR4 -> GNAI -> PI3K -> PIP3 -> AKT -| BAD",""
TRUE,"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",27,"ERK","Pathway Definition from KEGG: CXCL8 -> CXCR2 -> GNB/G -> RAS -> RAF1 -> MEK -> ERK",""
TRUE,"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",26,"PI3K; AKT","Pathway Definition from KEGG: CXCL8 -> CXCR2 -> GNB/G -> PI3Kgamma -> PIP3 -> AKT -> MTOR",""
TRUE,"KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",23,"ERK; RAS","Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> CREB",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",21,"EGFR","Pathway Definition from KEGG: EGF -> EGFR -> SRC -> CTTN -> NCK -> (WASL+WIPF) -> ARP2/3 -> (ACTB,ACTG1)",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",14,"EGFR; PI3K","Pathway Definition from KEGG: EGF -> EGFR -> PI3K -> PIP3 -> AKT -> IKK -> NFKBIA -> NFKB",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",16,"EGFR","Pathway Definition from KEGG: EGF -> EGFR -> PLCG -> IP3 -> Ca2+ -> CALM == CN -> NFAT",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"EGFR","Pathway Definition from KEGG: EGF -> EGFR -> PLCG -> IP3 -> Ca2+ -> CALM == CAMK",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"EGFR; ERK","Pathway Definition from KEGG: EGF -> EGFR -> PLCG -> IP3 -> (Ca2+,DAG) -> PKC -> RAF -> MEK -> ERK -> CCND1",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_ERK_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",16,"EGFR; ERK; RAS","Pathway Definition from KEGG: EGF -> EGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK -> CCND1",""
TRUE,"KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY","C2","CP:KEGG_MEDICUS",15,"EGFR; RAS; PI3K","Pathway Definition from KEGG: EGF -> EGFR -> GRB2 -> SOS -> RAS -> PI3K -> PIP3 -> AKT -| BAD",""
